"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-05-01 00:00","0","0","0","0.34","1.59","0","0"
"2024-05-01 00:30","0","0","0","0.34","1.59","0","0"
"2024-05-01 01:00","0","0","0","0.35","1.59","0","0"
"2024-05-01 01:30","0","0","0","0.34","1.5","0","0"
"2024-05-01 02:00","0","0","0","0.19","0.29","0","0"
"2024-05-01 02:30","0","0","0","0.17","0","0.01","0"
"2024-05-01 03:00","0","0","0","0.19","0","0.01","0"
"2024-05-01 03:30","0","0","0","0.18","0","0.01","0"
"2024-05-01 04:00","0","0","0","0.72","0","0.02","0"
"2024-05-01 04:30","0","0","0","0.97","0","0.02","0"
"2024-05-01 05:00","0","0","0","0.81","0","1.65","0"
"2024-05-01 05:30","0","0","0","0","0","0.42","0"
"2024-05-01 06:00","0.02","0","0","0","0","0.17","0"
"2024-05-01 06:30","0.04","0","0","0","0","0.13","0"
"2024-05-01 07:00","0.15","0","0","0.19","0","0.64","0"
"2024-05-01 07:30","0.17","0.04","0","0.01","0","0.17","0"
"2024-05-01 08:00","0.19","0.09","0","0","0","0","0"
"2024-05-01 08:30","0.2","0.37","0","0","0","0","0"
"2024-05-01 09:00","0.24","0.48","0","0","0","0","0"
"2024-05-01 09:30","0.43","0.33","0.01","0","0","0.22","0"
"2024-05-01 10:00","0.73","0.4","0","0.19","0","0.1","0"
"2024-05-01 10:30","0.87","0.43","0","0.38","0","0.34","0"
"2024-05-01 11:00","0.33","0.91","0.01","0","0","0","0"
"2024-05-01 11:30","0.54","0.73","0.02","0","0","0.03","0"
"2024-05-01 12:00","0.58","0.39","0.41","0","0","0","0"
"2024-05-01 12:30","0.4","0","0.31","0","0","0.26","0.03"
"2024-05-01 13:00","0.43","0.36","0.13","0","0","0.06","0"
"2024-05-01 13:30","0.46","0.01","0.74","0.01","0","0.01","0.01"
"2024-05-01 14:00","0.86","0.02","0","0.45","0","0.85","0"
"2024-05-01 14:30","0.24","0.42","0","0","0","0","0"
"2024-05-01 15:00","0.2","0.37","0","0","0","0","0"
"2024-05-01 15:30","0.2","0.05","0.03","0","0","0","0.01"
"2024-05-01 16:00","0.16","0","0.04","0","0","0.01","0.01"
"2024-05-01 16:30","0.15","0","0","0","0","0.14","0"
"2024-05-01 17:00","0.08","0","0","0","0","0.2","0"
"2024-05-01 17:30","0.03","0","0","0.01","0","0.19","0"
"2024-05-01 18:00","0.03","0","0","0","0","0.14","0.01"
"2024-05-01 18:30","0.02","0","0","0.01","0","0.16","0"
"2024-05-01 19:00","0.01","0","0","0.01","0","0.44","0"
"2024-05-01 19:30","0.01","0","0","0.33","0","1.65","0"
