LCLid,stdorToU,DateTime,consumption_Wh
MAC000100,Std,2013-12-20 21:00:00,264.0
MAC000100,Std,2013-12-20 21:30:00,242.0
MAC000100,Std,2013-12-20 22:00:00,399.0
MAC000100,Std,2013-12-20 22:30:00,246.0
MAC000100,Std,2013-12-20 23:00:00,175.0
MAC000100,Std,2013-12-20 23:30:00,111.0
MAC000100,Std,2013-12-21 00:00:00,77.0
MAC000100,Std,2013-12-21 00:30:00,73.0
MAC000100,Std,2013-12-21 01:00:00,77.0
MAC000100,Std,2013-12-21 01:30:00,63.0
MAC000100,Std,2013-12-21 02:00:00,62.0
MAC000100,Std,2013-12-21 02:30:00,121.0
MAC000100,Std,2013-12-21 03:00:00,125.0
MAC000100,Std,2013-12-21 03:30:00,105.0
MAC000100,Std,2013-12-21 04:00:00,85.0
MAC000100,Std,2013-12-21 04:30:00,62.0
MAC000100,Std,2013-12-21 05:00:00,65.0
MAC000100,Std,2013-12-21 05:30:00,68.0
MAC000100,Std,2013-12-21 06:00:00,113.0
MAC000100,Std,2013-12-21 06:30:00,82.0
MAC000100,Std,2013-12-21 07:00:00,95.0
MAC000100,Std,2013-12-21 07:30:00,138.0
MAC000100,Std,2013-12-21 08:00:00,336.0
MAC000100,Std,2013-12-21 08:30:00,251.0
MAC000100,Std,2013-12-21 09:00:00,201.0
MAC000100,Std,2013-12-21 09:30:00,316.0
MAC000100,Std,2013-12-21 10:00:00,456.0
MAC000100,Std,2013-12-21 10:30:00,300.0
MAC000100,Std,2013-12-21 11:00:00,926.0
MAC000100,Std,2013-12-21 11:30:00,323.0
MAC000100,Std,2013-12-21 12:00:00,1527.0
MAC000100,Std,2013-12-21 12:30:00,601.0
MAC000100,Std,2013-12-21 13:00:00,1011.0
MAC000100,Std,2013-12-21 13:30:00,1353.0
MAC000100,Std,2013-12-21 14:00:00,258.0
MAC000100,Std,2013-12-21 14:30:00,1242.0
MAC000100,Std,2013-12-21 15:00:00,1166.0
MAC000100,Std,2013-12-21 15:30:00,825.0
MAC000100,Std,2013-12-21 16:00:00,404.0
MAC000100,Std,2013-12-21 16:30:00,293.0
MAC000100,Std,2013-12-21 17:00:00,497.0
MAC000100,Std,2013-12-21 17:30:00,361.0
MAC000100,Std,2013-12-21 18:00:00,297.0
MAC000100,Std,2013-12-21 18:30:00,326.0
MAC000100,Std,2013-12-21 19:00:00,333.0
MAC000100,Std,2013-12-21 19:30:00,254.0
MAC000100,Std,2013-12-21 20:00:00,385.0
MAC000100,Std,2013-12-21 20:30:00,313.0
MAC000100,Std,2013-12-21 21:00:00,279.0
MAC000100,Std,2013-12-21 21:30:00,256.0
MAC000100,Std,2013-12-21 22:00:00,271.0
MAC000100,Std,2013-12-21 22:30:00,261.0
MAC000100,Std,2013-12-21 23:00:00,268.0
MAC000100,Std,2013-12-21 23:30:00,284.0
MAC000100,Std,2013-12-22 00:00:00,385.0
MAC000100,Std,2013-12-22 00:30:00,108.0
MAC000100,Std,2013-12-22 01:00:00,75.0
MAC000100,Std,2013-12-22 01:30:00,71.0
MAC000100,Std,2013-12-22 02:00:00,79.0
MAC000100,Std,2013-12-22 02:30:00,100.0
MAC000100,Std,2013-12-22 03:00:00,83.0
MAC000100,Std,2013-12-22 03:30:00,78.0
MAC000100,Std,2013-12-22 04:00:00,74.0
MAC000100,Std,2013-12-22 04:30:00,64.0
MAC000100,Std,2013-12-22 05:00:00,68.0
MAC000100,Std,2013-12-22 05:30:00,132.0
MAC000100,Std,2013-12-22 06:00:00,104.0
MAC000100,Std,2013-12-22 06:30:00,107.0
MAC000100,Std,2013-12-22 07:00:00,122.0
MAC000100,Std,2013-12-22 07:30:00,117.0
MAC000100,Std,2013-12-22 08:00:00,115.0
MAC000100,Std,2013-12-22 08:30:00,151.0
MAC000100,Std,2013-12-22 09:00:00,315.0
MAC000100,Std,2013-12-22 09:30:00,97.0
MAC000100,Std,2013-12-22 10:00:00,124.0
MAC000100,Std,2013-12-22 10:30:00,223.0
MAC000100,Std,2013-12-22 11:00:00,263.0
MAC000100,Std,2013-12-22 11:30:00,742.0
MAC000100,Std,2013-12-22 12:00:00,261.0
MAC000100,Std,2013-12-22 12:30:00,224.0
MAC000100,Std,2013-12-22 13:00:00,1807.0
MAC000100,Std,2013-12-22 13:30:00,1226.0
MAC000100,Std,2013-12-22 14:00:00,253.0
MAC000100,Std,2013-12-22 14:30:00,1597.0
MAC000100,Std,2013-12-22 15:00:00,666.0
MAC000100,Std,2013-12-22 15:30:00,209.0
MAC000100,Std,2013-12-22 16:00:00,173.0
MAC000100,Std,2013-12-22 16:30:00,277.0
MAC000100,Std,2013-12-22 17:00:00,273.0
MAC000100,Std,2013-12-22 17:30:00,279.0
MAC000100,Std,2013-12-22 18:00:00,425.0
MAC000100,Std,2013-12-22 18:30:00,390.0
MAC000100,Std,2013-12-22 19:00:00,232.0
MAC000100,Std,2013-12-22 19:30:00,293.0
MAC000100,Std,2013-12-22 20:00:00,247.0
MAC000100,Std,2013-12-22 20:30:00,278.0
MAC000100,Std,2013-12-22 21:00:00,248.0
MAC000100,Std,2013-12-22 21:30:00,351.0
MAC000100,Std,2013-12-22 22:00:00,266.0
MAC000100,Std,2013-12-22 22:30:00,249.0
MAC000100,Std,2013-12-22 23:00:00,214.0
MAC000100,Std,2013-12-22 23:30:00,112.0
MAC000100,Std,2013-12-23 00:00:00,98.0
MAC000100,Std,2013-12-23 00:30:00,65.0
MAC000100,Std,2013-12-23 01:00:00,65.0
MAC000100,Std,2013-12-23 01:30:00,67.0
MAC000100,Std,2013-12-23 02:00:00,71.0
MAC000100,Std,2013-12-23 02:30:00,110.0
MAC000100,Std,2013-12-23 03:00:00,84.0
MAC000100,Std,2013-12-23 03:30:00,86.0
MAC000100,Std,2013-12-23 04:00:00,65.0
MAC000100,Std,2013-12-23 04:30:00,66.0
MAC000100,Std,2013-12-23 05:00:00,68.0
MAC000100,Std,2013-12-23 05:30:00,95.0
MAC000100,Std,2013-12-23 06:00:00,88.0
MAC000100,Std,2013-12-23 06:30:00,66.0
MAC000100,Std,2013-12-23 07:00:00,118.0
MAC000100,Std,2013-12-23 07:30:00,135.0
MAC000100,Std,2013-12-23 08:00:00,113.0
MAC000100,Std,2013-12-23 08:30:00,395.0
MAC000100,Std,2013-12-23 09:00:00,212.0
MAC000100,Std,2013-12-23 09:30:00,211.0
MAC000100,Std,2013-12-23 10:00:00,239.0
MAC000100,Std,2013-12-23 10:30:00,131.0
MAC000100,Std,2013-12-23 11:00:00,94.0
MAC000100,Std,2013-12-23 11:30:00,89.0
MAC000100,Std,2013-12-23 12:00:00,94.0
MAC000100,Std,2013-12-23 12:30:00,307.0
MAC000100,Std,2013-12-23 13:00:00,79.0
MAC000100,Std,2013-12-23 13:30:00,71.0
MAC000100,Std,2013-12-23 14:00:00,119.0
MAC000100,Std,2013-12-23 14:30:00,258.0
MAC000100,Std,2013-12-23 15:00:00,217.0
MAC000100,Std,2013-12-23 15:30:00,201.0
MAC000100,Std,2013-12-23 16:00:00,234.0
MAC000100,Std,2013-12-23 16:30:00,269.0
MAC000100,Std,2013-12-23 17:00:00,367.0
MAC000100,Std,2013-12-23 17:30:00,456.0
MAC000100,Std,2013-12-23 18:00:00,373.0
MAC000100,Std,2013-12-23 18:30:00,267.0
MAC000100,Std,2013-12-23 19:00:00,242.0
MAC000100,Std,2013-12-23 19:30:00,236.0
MAC000100,Std,2013-12-23 20:00:00,197.0
MAC000100,Std,2013-12-23 20:30:00,223.0
MAC000100,Std,2013-12-23 21:00:00,222.0
MAC000100,Std,2013-12-23 21:30:00,382.0
MAC000100,Std,2013-12-23 22:00:00,231.0
MAC000100,Std,2013-12-23 22:30:00,219.0
MAC000100,Std,2013-12-23 23:00:00,242.0
MAC000100,Std,2013-12-23 23:30:00,136.0
MAC000100,Std,2013-12-24 00:00:00,121.0
MAC000100,Std,2013-12-24 00:30:00,72.0
MAC000100,Std,2013-12-24 01:00:00,72.0
MAC000100,Std,2013-12-24 01:30:00,64.0
MAC000100,Std,2013-12-24 02:00:00,77.0
MAC000100,Std,2013-12-24 02:30:00,101.0
MAC000100,Std,2013-12-24 03:00:00,89.0
MAC000100,Std,2013-12-24 03:30:00,61.0
MAC000100,Std,2013-12-24 04:00:00,77.0
MAC000100,Std,2013-12-24 04:30:00,67.0
MAC000100,Std,2013-12-24 05:00:00,70.0
MAC000100,Std,2013-12-24 05:30:00,113.0
MAC000100,Std,2013-12-24 06:00:00,138.0
MAC000100,Std,2013-12-24 06:30:00,94.0
MAC000100,Std,2013-12-24 07:00:00,132.0
MAC000100,Std,2013-12-24 07:30:00,118.0
MAC000100,Std,2013-12-24 08:00:00,105.0
MAC000100,Std,2013-12-24 08:30:00,307.0
MAC000100,Std,2013-12-24 09:00:00,223.0
MAC000100,Std,2013-12-24 09:30:00,387.0
MAC000100,Std,2013-12-24 10:00:00,468.0
MAC000100,Std,2013-12-24 10:30:00,1077.0
MAC000100,Std,2013-12-24 11:00:00,620.0
MAC000100,Std,2013-12-24 11:30:00,224.0
MAC000100,Std,2013-12-24 12:00:00,810.0
MAC000100,Std,2013-12-24 12:30:00,349.0
MAC000100,Std,2013-12-24 13:00:00,145.0
MAC000100,Std,2013-12-24 13:30:00,1385.0
