"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-04-22 00:00","0","0","0","1.66","1.63","0","0"
"2024-04-22 00:30","0","0","0","0.35","1.63","0","0"
"2024-04-22 01:00","0","0","0","0.34","1.63","0","0"
"2024-04-22 01:30","0","0","0","0.34","1.63","0","0"
"2024-04-22 02:00","0","0","0","0.32","1.27","0","0"
"2024-04-22 02:30","0","0","0","0.18","0.13","0","0"
"2024-04-22 03:00","0","0","0","0.18","0","0.01","0"
"2024-04-22 03:30","0","0","0","0.18","0","0.02","0"
"2024-04-22 04:00","0","0","0","2.54","0","0.01","0"
"2024-04-22 04:30","0","0","0","2.12","0","0.01","0"
"2024-04-22 05:00","0","0","0","0.09","0","0.82","0"
"2024-04-22 05:30","0","0","0","0","0","0.19","0"
"2024-04-22 06:00","0.01","0","0","0","0","0.18","0"
"2024-04-22 06:30","0.02","0","0","0","0","0.17","0"
"2024-04-22 07:00","0.07","0","0","0.02","0","0.63","0"
"2024-04-22 07:30","0.14","0","0","0","0","0.13","0"
"2024-04-22 08:00","0.21","0.03","0.01","0","0","0","0"
"2024-04-22 08:30","0.24","0.19","0.01","0","0","0","0"
"2024-04-22 09:00","0.27","0.48","0","0","0","0","0"
"2024-04-22 09:30","0.27","0.47","0","0","0","0","0"
"2024-04-22 10:00","0.24","0.54","0","0","0","0","0"
"2024-04-22 10:30","0.25","0.31","0.38","0","0","0","0"
"2024-04-22 11:00","0.22","0","0.62","0","0","0","0.01"
"2024-04-22 11:30","0.36","0.06","0.28","0","0","0.02","0.03"
"2024-04-22 12:00","0.29","0","0.49","0","0","0","0"
"2024-04-22 12:30","0.26","0.15","0.44","0","0","0","0"
"2024-04-22 13:00","0.36","0","0.53","0.01","0","0.08","0.01"
"2024-04-22 13:30","0.81","0.07","0","0.33","0","0.76","0"
"2024-04-22 14:00","0.27","0.65","0","0","0","0","0"
"2024-04-22 14:30","0.24","0.15","0.54","0","0","0","0"
"2024-04-22 15:00","0.24","0.05","0.37","0","0","0","0"
"2024-04-22 15:30","0.28","0.04","0.11","0.08","0","0.36","0.02"
"2024-04-22 16:00","0.36","0.04","0","0.36","0","0.78","0"
"2024-04-22 16:30","0.2","0.05","0","0","0","0.01","0"
"2024-04-22 17:00","0.2","0.04","0","0","0","0.01","0"
"2024-04-22 17:30","0.18","0","0","0","0","0.41","0.01"
"2024-04-22 18:00","0.17","0","0","0.99","0","1.68","0"
"2024-04-22 18:30","0.13","0","0","0","0","0.43","0"
"2024-04-22 19:00","0.08","0","0","0.55","0","1.52","0"
"2024-04-22 19:30","0.02","0","0","0.09","0","0.6","0.01"
"2024-04-22 20:00","0","0","0","0","0","0.36","0"
"2024-04-22 20:30","0","0","0","0","0","0.52","0"
"2024-04-22 21:00","0","0","0","0.02","0","0.59","0"
"2024-04-22 21:30","0","0","0","0","0","0.35","0"
"2024-04-22 22:00","0","0","0","0","0","0.27","0"
"2024-04-22 22:30","0","0","0","1.34","0","0.09","0"
"2024-04-22 23:00","0","0","0","1.06","0","0","0"
"2024-04-22 23:30","0","0","0","3.53","0","0","0"
