"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-07-19 00:00","0","0","0","3.21","1.64","0","0"
"2024-07-19 00:30","0","0","0","3.92","1.65","0","0"
"2024-07-19 01:00","0","0","0","3.93","1.65","0","0"
"2024-07-19 01:30","0","0","0","3.93","1.57","0","0"
"2024-07-19 02:00","0","0","0","3.8","0.36","0","0"
"2024-07-19 02:30","0","0","0","1.34","0","0","0"
"2024-07-19 03:00","0","0","0","0.19","0","0","0"
"2024-07-19 03:30","0","0","0","0.2","0","0","0"
"2024-07-19 04:00","0","0","0","0.2","0","0","0"
"2024-07-19 04:30","0","0","0","0.2","0","0","0"
"2024-07-19 05:00","0","0","0","0.02","0","0.17","0"
"2024-07-19 05:30","0.01","0","0","0.01","0","0.18","0"
"2024-07-19 06:00","0.04","0","0","0","0","0.14","0.01"
"2024-07-19 06:30","0.1","0","0","0","0","0.11","0"
"2024-07-19 07:00","0.14","0","0","0","0","0.06","0"
"2024-07-19 07:30","0.17","0","0","1.12","0","1.39","0"
"2024-07-19 08:00","0.22","0","0","0.1","0","0.75","0"
"2024-07-19 08:30","0.29","0.19","0","0","0.01","0","0"
"2024-07-19 09:00","0.29","0.44","0","0","0","0","0"
"2024-07-19 09:30","0.29","0.55","0","0","0","0","0"
"2024-07-19 10:00","0.3","0.68","0","0","0","0","0"
"2024-07-19 10:30","0.46","0.73","0","0","0","0","0"
"2024-07-19 11:00","0.71","0.34","0.35","0.04","0","0.09","0.02"
"2024-07-19 11:30","1.6","0","0","0.31","0","0.33","0"
"2024-07-19 12:00","0.7","0.2","0.87","0","0","0","0"
"2024-07-19 12:30","0.34","0","1.57","0","0","0","0"
"2024-07-19 13:00","0.31","0","1.61","0","0","0","0"
"2024-07-19 13:30","0.31","0","1.61","0","0","0","0"
"2024-07-19 14:00","0.3","0","1.61","0","0","0","0"
"2024-07-19 14:30","0.67","0","1.25","0","0","0","0.01"
"2024-07-19 15:00","0.32","0","1.37","0","0","0","0.01"
"2024-07-19 15:30","0.34","0","1.35","0","0","0","0.01"
"2024-07-19 16:00","0.32","0","1.59","0","0","0","0.01"
"2024-07-19 16:30","0.29","0","1.41","0","0","0","0.01"
"2024-07-19 17:00","0.5","0","0.68","0.1","0","0.34","0.04"
"2024-07-19 17:30","0.41","0","0","0.03","0","0.97","0"
"2024-07-19 18:00","0.18","0.02","0","0","0","0.03","0"
"2024-07-19 18:30","0.14","0","0","0","0","0.04","0"
"2024-07-19 19:00","0.11","0","0","0","0","0.06","0"
"2024-07-19 19:30","0.08","0","0","0","0","0.65","0"
"2024-07-19 20:00","0.02","0","0","0","0","0.37","0.11"
"2024-07-19 20:30","0.01","0","0","0","0","0.27","0"
"2024-07-19 21:00","0","0","0","0.29","0","1.16","0"
"2024-07-19 21:30","0","0","0","0.35","0","1.38","0"
"2024-07-19 22:00","0","0","0","0","0","0.86","0"
"2024-07-19 22:30","0","0","0","0","0","0.24","0.03"
"2024-07-19 23:00","0","0","0","0","0","0.24","0.04"
"2024-07-19 23:30","0","0","0","0","0","0.2","0"
