"Date","Solar To Home","Solar To Battery","Solar To Grid","Grid To Home","Grid To Battery","Battery To Home","Battery To Grid"
"2024-02-01 00:00","0","0","0","0.18","0","0","0"
"2024-02-01 00:30","0","0","0","0.17","0","0","0"
"2024-02-01 01:00","0","0","0","0.2","0","0","0"
"2024-02-01 01:30","0","0","0","0.18","0","0","0"
"2024-02-01 02:00","0","0","0","0.18","0","0","0"
"2024-02-01 02:30","0","0","0","0.18","0","0","0"
"2024-02-01 03:00","0","0","0","0.18","0","0","0"
"2024-02-01 03:30","0","0","0","0.18","0","0","0"
"2024-02-01 04:00","0","0","0","0.19","0","0","0"
"2024-02-01 04:30","0","0","0","0.19","0","0","0"
"2024-02-01 05:00","0","0","0","0.17","0","0","0"
"2024-02-01 05:30","0","0","0","0.2","0","0","0"
"2024-02-01 06:00","0","0","0","0.19","0","0","0"
"2024-02-01 06:30","0","0","0","0.21","0","0","0"
"2024-02-01 07:00","0","0","0","2.91","0","0","0"
"2024-02-01 07:30","0.01","0","0","2.12","0","0","0"
"2024-02-01 08:00","0.09","0","0","0.19","0","0","0"
"2024-02-01 08:30","0.22","0.02","0","0.02","0","0","0"
"2024-02-01 09:00","0.24","0.18","0","0","0","0","0"
"2024-02-01 09:30","0.28","0.42","0","0","0","0","0"
"2024-02-01 10:00","0.29","0.6","0","0","0.03","0","0"
"2024-02-01 10:30","0.24","0.74","0","0","0","0","0"
"2024-02-01 11:00","0.25","0.82","0","0","0","0","0"
"2024-02-01 11:30","0.28","1.06","0","0","0","0","0"
"2024-02-01 12:00","0.28","1.12","0","0","0","0","0"
"2024-02-01 12:30","0.3","1.26","0","0","0","0","0"
"2024-02-01 13:00","0.29","1.21","0","0","0","0","0"
"2024-02-01 13:30","1.12","0.18","0","0.26","0","0.44","0"
"2024-02-01 14:00","0.77","0.23","0","0","0","0.54","0"
"2024-02-01 14:30","0.26","0.24","0","0","0","0.18","0"
"2024-02-01 15:00","0.23","0.1","0","0","0","0.03","0"
"2024-02-01 15:30","0.19","0.04","0","0","0","0.02","0"
"2024-02-01 16:00","0.12","0","0","0","0","0.11","0"
"2024-02-01 16:30","0.02","0","0","0.08","0","0.51","0"
"2024-02-01 17:00","0.01","0","0","0","0","0.27","0"
"2024-02-01 17:30","0","0","0","0","0","0.3","0"
"2024-02-01 18:00","0","0","0","0.28","0","1.03","0"
"2024-02-01 18:30","0","0","0","0.44","0","1.16","0"
"2024-02-01 19:00","0","0","0","0","0","0.24","0"
"2024-02-01 19:30","0","0","0","0","0","0.32","0"
"2024-02-01 20:00","0","0","0","0.8","0","1.34","0"
"2024-02-01 20:30","0","0","0","1.27","0","1.37","0"
"2024-02-01 21:00","0","0","0","1.05","0","0","0"
"2024-02-01 21:30","0","0","0","0.87","0","0","0"
"2024-02-01 22:00","0","0","0","0.2","0","0","0"
"2024-02-01 22:30","0","0","0","0.25","0","0","0"
"2024-02-01 23:00","0","0","0","0.29","0","0","0"
"2024-02-01 23:30","0","0","0","1.91","0","0","0"
